date,portfolio_value,holding_code,holding_name,holding_cost,cooldown,cash,money_shares,action
2026-03-16,1000.0,511880,银华日利货币ETF,,0,0,9.973589933855152,
2026-03-17,1000.025931333828,511880,银华日利货币ETF,,0,0,9.973589933855152,
2026-03-18,1000.0548547446363,511880,银华日利货币ETF,,0,0,9.973589933855152,
2026-03-19,1000.0817834374576,511880,银华日利货币ETF,,0,0,9.973589933855152,
2026-03-20,1000.1635668749152,511880,银华日利货币ETF,,0,0,9.973589933855152,
2026-03-23,1000.1954823627036,563020,易方达中证红利低波动ETF(场内),1.1645,0,0,0.0,买入 563020
2026-03-24,1020.3797621699371,563020,易方达中证红利低波动ETF(场内),1.1645,0,0,0.0,
2026-03-25,1025.5331953122095,563020,易方达中证红利低波动ETF(场内),1.1645,0,0,0.0,
