日期,单位净值,累计净值,涨跌幅
2024-04-30,1.0002,1.0002,--
2024-05-10,1.0027,1.0027,--
2024-05-15,1.0031,1.0031,--
2024-05-16,1.0021,1.0021,-0.1
2024-05-17,1.0086,1.0086,0.65
2024-05-20,1.0247,1.0247,1.6
2024-05-21,1.0321,1.0321,0.72
2024-05-22,1.0323,1.0323,0.02
2024-05-23,1.0199,1.0199,-1.2
2024-05-24,1.0176,1.0176,-0.23
2024-05-27,1.0354,1.0354,1.75
2024-05-28,1.0316,1.0347,-0.07
2024-05-29,1.0352,1.0383,0.35
2024-05-30,1.0202,1.0233,-1.45
2024-05-31,1.0226,1.0257,0.24
2024-06-03,1.0207,1.0238,-0.19
2024-06-04,1.0199,1.023,-0.08
2024-06-05,1.0093,1.0124,-1.04
2024-06-06,1.0176,1.0207,0.82
2024-06-07,1.026,1.0291,0.83
2024-06-11,1.0087,1.0118,-1.69
2024-06-12,1.0295,1.0326,2.06
2024-06-13,1.0168,1.024,-0.84
2024-06-14,1.0138,1.021,-0.3
2024-06-17,0.9988,1.006,-1.48
2024-06-18,1.0017,1.0089,0.29
2024-06-19,1.0017,1.0089,0
2024-06-20,1.0051,1.0123,0.34
2024-06-21,1.0028,1.01,-0.23
2024-06-24,0.9908,0.998,-1.2
2024-06-25,0.9936,1.0008,0.28
2024-06-26,0.9983,1.0055,0.47
2024-06-27,0.9973,1.0045,-0.1
2024-06-28,1.0056,1.0128,0.83
2024-06-30,1.0056,1.0128,0
2024-07-01,1.0292,1.0364,2.35
2024-07-02,1.0303,1.0375,0.11
2024-07-03,1.0202,1.0274,-0.98
2024-07-04,1.0183,1.0255,-0.19
2024-07-05,1.0143,1.0215,-0.39
2024-07-08,1.0115,1.0187,-0.28
2024-07-09,1.0227,1.0299,1.11
2024-07-10,0.9978,1.005,-2.43
2024-07-11,0.9949,1.0021,-0.29
2024-07-12,0.9923,0.9995,-0.26
2024-07-15,1.0034,1.0147,1.53
2024-07-16,1.0005,1.0118,-0.29
2024-07-17,0.9932,1.0045,-0.73
2024-07-18,0.9981,1.0094,0.49
2024-07-19,0.9917,1.003,-0.64
2024-07-22,0.9843,0.9956,-0.75
2024-07-23,0.9779,0.9892,-0.65
2024-07-24,0.9824,0.9937,0.46
2024-07-25,0.9787,0.99,-0.38
2024-07-26,0.9743,0.9856,-0.45
2024-07-29,0.9779,0.9892,0.37
2024-07-30,0.9723,0.9836,-0.57
2024-07-31,0.9787,0.99,0.66
2024-08-01,0.9811,0.9924,0.25
2024-08-02,0.9784,0.9897,-0.28
2024-08-05,0.9627,0.974,-1.6
2024-08-06,0.9602,0.9715,-0.26
2024-08-07,0.9656,0.9769,0.56
2024-08-08,0.9672,0.9785,0.17
2024-08-09,0.9629,0.9742,-0.44
2024-08-12,0.9717,0.983,0.91
2024-08-13,0.9687,0.9839,0.09
2024-08-14,0.9673,0.9825,-0.14
2024-08-15,0.9784,0.9936,1.15
2024-08-16,0.9803,0.9955,0.19
2024-08-19,0.9911,1.0063,1.1
2024-08-20,0.9776,0.9928,-1.36
2024-08-21,0.9693,0.9845,-0.85
2024-08-22,0.9696,0.9848,0.03
2024-08-23,0.9681,0.9833,-0.15
2024-08-26,0.9621,0.9773,-0.62
2024-08-27,0.9691,0.9843,0.73
2024-08-28,0.9641,0.9793,-0.52
2024-08-29,0.9429,0.9581,-2.2
2024-08-30,0.9412,0.9564,-0.18
2024-09-02,0.9511,0.9663,1.05
2024-09-03,0.9386,0.9538,-1.31
2024-09-04,0.9392,0.9544,0.06
2024-09-05,0.9371,0.9523,-0.22
2024-09-06,0.928,0.9432,-0.97
2024-09-09,0.9135,0.9287,-1.56
2024-09-10,0.9151,0.9303,0.18
2024-09-11,0.8894,0.9084,-2.39
2024-09-12,0.8939,0.9129,0.51
2024-09-13,0.8902,0.9092,-0.41
2024-09-18,0.9048,0.9238,1.64
2024-09-19,0.9001,0.9191,-0.52
2024-09-20,0.9,0.919,-0.01
2024-09-23,0.9127,0.9317,1.41
2024-09-24,0.9557,0.9747,4.71
2024-09-25,0.9685,0.9875,1.34
2024-09-26,0.9947,1.0137,2.71
2024-09-27,0.9965,1.0155,0.18
2024-09-30,1.0509,1.0699,5.46
2024-10-08,1.0497,1.0687,-0.11
2024-10-09,0.9767,0.9957,-6.95
2024-10-10,1.018,1.037,4.23
2024-10-11,1.0039,1.0229,-1.39
2024-10-14,1.0315,1.0505,2.75
2024-10-15,1.0033,1.0263,-2.35
2024-10-16,1.0158,1.0388,1.25
2024-10-17,1.0005,1.0235,-1.51
2024-10-18,1.0068,1.0298,0.63
2024-10-21,1.0023,1.0253,-0.45
2024-10-22,1.0085,1.0315,0.62
2024-10-23,1.0061,1.0291,-0.24
2024-10-24,1.0013,1.0243,-0.48
2024-10-25,0.9965,1.0195,-0.48
2024-10-28,1.0002,1.0232,0.37
2024-10-29,0.9869,1.0099,-1.33
2024-10-30,0.9728,0.9958,-1.43
2024-10-31,0.9649,0.9879,-0.81
2024-11-01,0.9755,0.9985,1.1
2024-11-04,0.9816,1.0046,0.63
2024-11-05,0.9882,1.0112,0.67
2024-11-06,0.9805,1.0035,-0.78
2024-11-07,0.9988,1.0218,1.87
2024-11-08,0.9882,1.0112,-1.06
2024-11-11,0.9785,1.0015,-0.98
2024-11-12,0.9707,0.9937,-0.8
2024-11-13,0.9736,1.0005,0.7
2024-11-14,0.9657,0.9926,-0.81
2024-11-15,0.9694,0.9963,0.38
2024-11-18,0.9872,1.0141,1.84
2024-11-19,0.983,1.0099,-0.43
2024-11-20,0.9846,1.0115,0.16
2024-11-21,0.9855,1.0124,0.09
2024-11-22,0.9635,0.9904,-2.23
2024-11-25,0.9633,0.9902,-0.02
2024-11-26,0.9661,0.993,0.29
2024-11-27,0.975,1.0019,0.92
2024-11-28,0.9709,0.9978,-0.42
2024-11-29,0.973,0.9999,0.22
2024-12-02,0.9734,1.0003,0.04
2024-12-03,0.9856,1.0125,1.25
2024-12-04,0.994,1.0209,0.85
2024-12-05,0.9921,1.019,-0.19
2024-12-06,1.0067,1.0336,1.47
2024-12-09,1.009,1.0359,0.23
2024-12-10,1.0077,1.0346,-0.13
2024-12-11,1.0091,1.036,0.14
2024-12-12,1.0102,1.0371,0.11
2024-12-13,0.9892,1.02,-1.69
2024-12-16,1.0036,1.0344,1.46
2024-12-17,1.0032,1.034,-0.04
2024-12-18,1.011,1.0418,0.78
2024-12-19,0.9991,1.0299,-1.18
2024-12-20,0.9878,1.0186,-1.13
2024-12-23,0.9923,1.0231,0.46
2024-12-24,1.0017,1.0325,0.95
2024-12-25,1.011,1.0418,0.93
2024-12-26,1.0054,1.0362,-0.55
2024-12-27,1.0056,1.0364,0.02
2024-12-30,1.0192,1.05,1.35
2024-12-31,1.0126,1.0434,-0.65
2025-01-02,0.9861,1.0169,-2.62
2025-01-03,0.9824,1.0132,-0.38
